trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.4, 'e': 0.5541636732359667}",20,0,-9.396570728479572,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
61,False,"{'a': 0.4, 'e': 0.5486469074854967}",20,0,-40.49671890411767,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.4, 'e': 0.5431850617989273}",30,9,-128.92184353758674,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 2}",1
63,False,"{'a': 0.4, 'e': 0.5377775894404437}",20,0,-9.83076658229824,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
64,False,"{'a': 0.4, 'e': 0.5324239491170513}",20,9,19.529673506520993,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.4, 'e': 0.527123604924392}",30,0,-115.30698952488504,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
66,False,"{'a': 0.4, 'e': 0.5218760262931004}",20,5,1.9422098464833515,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.4, 'e': 0.516680687935692}",25,12,12.552670406263127,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.5115370697939825}",20,0,-48.30161883466659,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.4, 'e': 0.506444656987029}",30,0,2.6427770197705316,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.4, 'e': 0.50140293975959}",20,0,8.975226374128022,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
71,False,"{'a': 0.4, 'e': 0.49641141343109896}",30,14,-41.08270379222543,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.4, 'e': 0.49146957834514415}",20,2,-2.6977153421990034,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.4, 'e': 0.4865769398194537}",30,0,-27.843962066475417,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
74,False,"{'a': 0.4, 'e': 0.4817330080963769}",25,0,-6.530705443602002,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
75,False,"{'a': 0.4, 'e': 0.47693729829385917}",25,0,37.16373922444489,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.4, 'e': 0.47218933035690475}",25,12,2.5241687526369434,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.467488629009523}",25,0,-24.94332656766676,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.4, 'e': 0.46283472370715256}",30,19,19.251956494979687,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.4, 'e': 0.45822714858955976}",20,8,17.069069024026035,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.4, 'e': 0.4536654424342052}",20,0,-53.57325664406574,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
81,False,"{'a': 0.4, 'e': 0.4491491486100751}",25,7,-68.8330151537229,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
82,False,"{'a': 0.4, 'e': 0.4446778150319722}",30,23,3.7142634926694615,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.4, 'e': 0.4402509941152615}",20,2,-76.5212555486618,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
84,False,"{'a': 0.4, 'e': 0.4358682427310666}",25,0,-42.45009537668699,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
85,False,"{'a': 0.4, 'e': 0.4315291221619123}",25,0,-42.73399421999514,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
86,False,"{'a': 0.4, 'e': 0.42723319805780824}",20,12,-74.99229195677728,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 1}",1
